time	I(C1)
3.704903202558146e-08	-9.036441e-02
3.724434452558146e-08	-8.990925e-02
3.743965702558146e-08	-8.810760e-02
3.762756255144067e-08	-8.510398e-02
3.782287505144067e-08	-8.070718e-02
3.801818755144066e-08	-7.510085e-02
3.821350005144066e-08	-6.835665e-02
3.840881255144066e-08	-6.057594e-02
3.860412505144066e-08	-5.187582e-02
3.879943755144066e-08	-4.238737e-02
3.899475005144065e-08	-3.225362e-02
3.919006255144065e-08	-2.162743e-02
3.938537505144065e-08	-1.066917e-02
3.958068755144065e-08	4.557070e-04
3.977600005144065e-08	1.157918e-02
3.997131255144064e-08	2.253318e-02
4.016662505144064e-08	3.315213e-02
4.036193755144064e-08	4.327550e-02
4.055725005144064e-08	5.275016e-02
4.075256255144064e-08	6.143275e-02
4.094787505144064e-08	6.919184e-02
4.114318755144063e-08	7.590991e-02
4.133850005144063e-08	8.148515e-02
4.153381255144063e-08	8.583298e-02
4.172912505144063e-08	8.888731e-02
4.192443755144063e-08	9.060163e-02
4.211975005144062e-08	9.094961e-02
4.231506255144062e-08	8.999255e-02
4.247158134234809e-08	8.822694e-02
4.263943636273083e-08	8.528677e-02
4.283474886273083e-08	8.069346e-02
4.303006136273083e-08	7.492768e-02
4.322537386273082e-08	6.802996e-02
4.342068636273082e-08	6.010406e-02
4.361599886273082e-08	5.126932e-02
4.381131136273082e-08	4.165879e-02
4.400662386273082e-08	3.141730e-02
4.420193636273082e-08	2.069918e-02
4.439724886273081e-08	9.666022e-03
4.459256136273081e-08	-1.515824e-03
4.478787386273081e-08	-1.267772e-02
4.498318636273081e-08	-2.365131e-02
4.517849886273081e-08	-3.427104e-02
4.537381136273080e-08	-4.437669e-02
4.556912386273080e-08	-5.381573e-02
4.576443636273080e-08	-6.244570e-02
4.595974886273080e-08	-7.013632e-02
4.615506136273080e-08	-7.677145e-02
4.635037386273080e-08	-8.225084e-02
4.654568636273079e-08	-8.649169e-02
4.674099886273079e-08	-8.942984e-02
4.693631136273079e-08	-9.102079e-02
4.713162386273079e-08	-9.124033e-02
4.732693636273079e-08	-9.013898e-02
4.749091528016154e-08	-8.817390e-02
4.764662334698524e-08	-8.534410e-02
4.784193584698524e-08	-8.063183e-02
4.803724834698524e-08	-7.477033e-02
4.823256084698523e-08	-6.778130e-02
4.842787334698523e-08	-5.976990e-02
4.862318584698523e-08	-5.085674e-02
4.881849834698523e-08	-4.117602e-02
4.901381084698523e-08	-3.087354e-02
4.920912334698522e-08	-2.010445e-02
4.940443584698522e-08	-9.030974e-03
4.959974834698522e-08	2.180071e-03
4.979506084698522e-08	1.335978e-02
4.999037334698522e-08	2.433972e-02
5.018568584698521e-08	3.495443e-02
5.038099834698521e-08	4.504397e-02
5.057631084698521e-08	5.445627e-02
5.077162334698521e-08	6.304949e-02
5.096693584698521e-08	7.069409e-02
5.116224834698521e-08	7.727483e-02
5.135756084698520e-08	8.269249e-02
5.155287334698520e-08	8.686537e-02
5.174818584698520e-08	8.973049e-02
5.194349834698520e-08	9.124462e-02
5.213881084698520e-08	9.138483e-02
5.233412334698519e-08	9.022428e-02
5.248576789504021e-08	8.837288e-02
5.264471007114013e-08	8.546069e-02
5.284002257114013e-08	8.073462e-02
5.303533507114013e-08	7.485361e-02
5.323064757114013e-08	6.784505e-02
5.342596007114013e-08	5.981439e-02
5.362127257114012e-08	5.088253e-02
5.381658507114012e-08	4.118387e-02
5.401189757114012e-08	3.086444e-02
5.420721007114012e-08	2.007957e-02
5.440252257114012e-08	8.991624e-03
5.459783507114011e-08	-2.232455e-03
5.479314757114011e-08	-1.342368e-02
5.498846007114011e-08	-2.441356e-02
5.518377257114011e-08	-3.503662e-02
5.537908507114011e-08	-4.513289e-02
5.557439757114010e-08	-5.455036e-02
5.576971007114010e-08	-6.314722e-02
5.596502257114010e-08	-7.079399e-02
5.616033507114010e-08	-7.737553e-02
5.635564757114010e-08	-8.279271e-02
5.655096007114010e-08	-8.696393e-02
5.674627257114009e-08	-8.982635e-02
5.694158507114009e-08	-9.133685e-02
5.713689757114009e-08	-9.147261e-02
5.733221007114009e-08	-9.030927e-02
5.748252287906544e-08	-8.847067e-02
5.764350385731574e-08	-8.551607e-02
5.783881635731573e-08	-8.078253e-02
5.803412885731573e-08	-7.489067e-02
5.822944135731573e-08	-6.787144e-02
5.842475385731573e-08	-5.983044e-02
5.862006635731573e-08	-5.088869e-02
5.881537885731572e-08	-4.118073e-02
5.901069135731572e-08	-3.085266e-02
5.920600385731572e-08	-2.005991e-02
5.940131635731572e-08	-8.964891e-03
5.959662885731572e-08	2.265412e-03
5.979194135731572e-08	1.346199e-02
5.998725385731573e-08	2.445633e-02
6.018256635731573e-08	3.508298e-02
6.037787885731574e-08	4.518199e-02
6.057319135731574e-08	5.460138e-02
6.076850385731575e-08	6.319937e-02
6.096381635731575e-08	7.084656e-02
6.115912885731575e-08	7.742786e-02
6.135444135731576e-08	8.284420e-02
6.154975385731576e-08	8.701406e-02
6.174506635731577e-08	8.987466e-02
6.194037885731577e-08	9.138294e-02
6.213569135731578e-08	9.151617e-02
6.233100385731578e-08	9.032198e-02
6.249753815881909e-08	8.824877e-02
